depth,l1,l2,Mode,Frequency,Max_Deflection,Average_Deflection
2.0,360,470,5.0,468.72,17.712,10.125
2.0,360,470,6.0,489.07,17.742,10.475999999999999
2.0,320,680,1.0,52.631,18.055,9.8982
2.0,320,680,2.0,144.86,17.319000000000003,10.784
2.0,320,680,3.0,284.5,17.484,9.4136
2.0,320,680,4.0,322.66,28.377,11.777000000000001
2.0,320,680,5.0,469.29,17.85,9.717
2.0,320,680,6.0,489.12,17.730999999999998,10.088
2.0,300,740,1.0,52.722,18.063,9.3494
2.0,300,740,2.0,144.92,17.315,10.32
2.0,300,740,3.0,283.28,17.473,9.9802
